"","class","posterior.1","posterior.2","LD1","caseno","Field...2","site","SLA","ARNODE","LOGCAHN","LOGCADN","FLOWPER","Field...9","Study","CHApul"
"1","2",2.92240421891415e-09,0.999999997077596,-3.72595965753151,126,"episode 1","Sedgeford",22.338,6561.26,6.4,5.8,3.1,NA,0,1
"2","2",1.66552707922961e-12,0.999999999998334,-5.14233509164312,127,"episode 2","Sedgeford",22.608,8377.54,6,5.2,3.3,NA,0,1
"3","2",3.74370226893804e-09,0.999999996256298,-3.67899975439559,128,"3","Sedgeford",23.0181818181818,10059.5945454545,5.90909090909091,5.90909090909091,3.86363636363636,NA,0,1
"4","2",3.74370226893804e-09,0.999999996256298,-3.67899975439559,129,"4","Sedgeford",23.0181818181818,10059.5945454545,5.90909090909091,5.90909090909091,3.86363636363636,NA,0,1
"5","2",1.78810665218269e-07,0.999999821189335,-2.94592741065352,130,"5","Sedgeford",23.467,9920.719,6,6,4.05,NA,0,1
"6","2",6.30448352359234e-10,0.999999999369552,-4.01676722988624,131,"6","Sedgeford",23.456,6867.646,6.2,5.6,2.9,NA,0,1
"7","2",2.77411054629143e-11,0.999999999972259,-4.60901077444197,132,"7","Sedgeford",24.115,7619.035,5.625,5.75,3.3125,NA,0,1
"8","2",1.47653928151532e-08,0.999999985234607,-3.41881758429916,133,"8","Sedgeford",22.6916666666667,14852.2433333333,5.83333333333333,6,4.08333333333333,NA,0,1
"9","2",3.46478869536806e-09,0.999999996535211,-3.69367984586074,134,"9","Sedgeford",22.8933333333333,11483.0477777778,6.11111111111111,5.66666666666667,3.5,NA,0,1
"10","2",1.49995520350295e-09,0.999999998500045,-3.85242275504995,135,"10","Sedgeford",23.76125,6994.28625,6,5.625,3.5625,NA,0,1
"11","2",3.64281029433016e-08,0.999999963571897,-3.2475912592172,136,"11","Sedgeford",23.5866666666667,11018.234,5.86666666666667,5.93333333333333,4.03333333333333,NA,0,1
"12","2",9.70852404930867e-10,0.999999999029147,-3.93490527189405,137,"12","Sedgeford",24.5325,10894.48125,5.625,5.625,3.8125,NA,0,1
"13","2",3.43367452675942e-10,0.999999999656632,-4.13197873870417,138,"19036","Sedgeford",22.2216666666667,12359.8033333333,6,5.83333333333333,3.41666666666667,NA,0,1
"14","2",8.79978395753509e-08,0.999999912002161,-3.08036237429716,139,"19046","Sedgeford",24.3933333333333,7190.42666666667,6.33333333333333,5.66666666666667,2.83333333333333,NA,0,1
"15","2",3.20546434253905e-15,0.999999999999997,-6.3279613476078,140,"23077A","Sedgeford",22.7166666666667,6213.93333333333,6,5,2.16666666666667,NA,0,1
"16","2",2.62712590224995e-05,0.999973728740978,-1.99979699363768,141,"23340","Sedgeford",24.8683333333333,13716.56,6.16666666666667,5.83333333333333,3.58333333333333,NA,0,1
"17","2",8.79978395753509e-08,0.999999912002161,-3.08036237429716,142,"23372","Sedgeford",24.3933333333333,7190.42666666667,6.33333333333333,5.66666666666667,2.83333333333333,NA,0,1
"18","2",4.50749558155357e-10,0.99999999954925,-4.08038437602681,143,"23375","Sedgeford",24.808,6485,5.8,5.8,2.9,NA,0,1
"19","2",0.000628413205658341,0.999371586794342,-1.39773009511625,144,"23647","Sedgeford",26.9133333333333,7737.68666666667,6.33333333333333,5.66666666666667,3.16666666666667,NA,0,1
"20","2",2.37485416234123e-08,0.999999976251458,-3.32870923491156,145,"23709","Sedgeford",24.6,7812.5025,6.25,5.5,2.875,NA,0,1
"21","2",3.95218042323413e-06,0.999996047819577,-2.35895819068214,146,"23714","Sedgeford",25.095,7842.5725,6.25,5.75,3.375,NA,0,1
"22","2",2.29053644884132e-11,0.999999999977095,-4.64532906842689,147,"23723","Sedgeford",25.2366666666667,6761.19333333333,6,5,2.5,NA,0,1
"23","2",1.9973558592767e-10,0.999999999800264,-4.23470961915609,148,"23646 G/H7","Sedgeford",23.188,7494.1,6,5.8,3.1,NA,0,1
"24","2",2.82356157753673e-15,0.999999999999997,-6.35201461771498,149,"23337 I6","Sedgeford",21.3966666666667,6572.75666666667,6,5.33333333333333,2.5,NA,0,1
"25","2",4.69091287931961e-14,0.999999999999953,-5.81917577013942,150,"23005 I8","Sedgeford",22.97,7903.60333333333,6,5,2.5,NA,0,1
"26","2",3.17403814195729e-09,0.999999996825962,-3.71029841801285,151,"23701 J5","Sedgeford",24.41,6545.25,6.25,5.5,2.625,NA,0,1
